View Extract,Loc,UY,Srl,Ext Type,Class,Sub br,Com date,Exp date,Sign share %,Country,Broker,Cedant,Org.Insured/Trty Name,Trty nature,Nature of risk Desc,Max Liability (FC),Gross UW Prem,Gross Book Prem,Gross Actual Acq.,Gross paid claims,Gross os loss,New/Renew,100% TSI (FC),Org Prem (FC),Accepted Share,Renewal Status,Running/Expired,Status,Inception Day,Inception Month,Inception Quarter,Inception Year,Expiry Day,Expiry Month,Expiry Quarter,Expiry Year,Renewal Date,Renewal Day,Renewal Month,Renewal Quarter,Renewal Year,Country RIMS,Country Name,Region,Hub,Written Line,Signed Line
2019917,HO,2019,917,FAC,FI,OT,2019-08-01,2020-07-31 00:00:00,8.5,Kuwait,Al Ahleia Ins. Co. S.A.K.,Al Ahleia Ins. Co. S.A.K.,Kuwait National Bottling Co. - Pepsi,PR,Beverage Factories,2155175.0,4712,3073.6956521739135,1075,0,0,Renew,59706521.73913044,35823.913043478264,8.5,Renewed,Expired,Materialized,1.0,AUG,Q3,2019.0,31.0,JUL,Q3,2020.0,2020-08-01,1.0,AUG,Q3,2020.0,Kuwait,Kuwait,Asia,GCC,0.0,0.085
20191577,HO,2019,1577,FAC,FI,OT,2019-07-01,2020-06-30 00:00:00,0.5,Saudi Arabia,United Ins. Brokers - Dubai,Saudi Arabian Coop. Ins. Co. Ltd EC. ,Govt. of KSA/Ministry of Defence & Avn,NP,Airport/Airport Hangers,1405856.0,7642,5263.695652173913,2623,3,0,Renew,3873322768.0434785,994863.2608695653,1.25,Not Renewed,Expired,Materialized,1.0,JUL,Q3,2019.0,30.0,JUN,Q2,2020.0,2020-07-01,1.0,JUL,Q3,2020.0,Saudi Arabia,KSA,Asia,GCC,0.0,0.005
20191788,HO,2019,1788,FAC,FI,OT,2019-01-01,2019-12-31 00:00:00,11.0,Kuwait,Al Ahleia Ins. Co. S.A.K.,Al Ahleia Ins. Co. S.A.K.,Gulf Cable & Electrical Ind. Co.,PR,Cable Factory,3104850.0,3071,1998.2608695652175,699,147,0,Renew,41084782.82608696,26705.21739130435,11.0,Renewed,Expired,Materialized,1.0,JAN,Q1,2019.0,31.0,DEC,Q4,2019.0,2020-01-01,1.0,JAN,Q1,2020.0,Kuwait,Kuwait,Asia,GCC,0.0,0.11
20194688,HO,2019,4688,FAC,FI,OT,2019-01-01,2019-12-31 00:00:00,2.5,Yemen,United Ins. Co. Yemen,United Ins. Co. Yemen,Yemen Co. For Ind. & Commerce (YCIC),PR,Biscuit Factories,2846183.0,5195,3512.608695652174,1346,0,0,Renew,37124123.478260875,66823.69565217392,2.5,Renewed,Expired,Materialized,1.0,JAN,Q1,2019.0,31.0,DEC,Q4,2019.0,2020-01-01,1.0,JAN,Q1,2020.0,Yemen,Yemen,Asia,Arab,0.0,0.025
20194689,HO,2019,4689,FAC,FI,OT,2019-01-01,2019-12-31 00:00:00,5.0,Yemen,United Ins. Co. Yemen,United Ins. Co. Yemen,National Dairy & Food Co. (NADFOOD),PR,Dairies/Dairy Farms,2738775.0,2983,1876.304347826087,719,0,0,Renew,35660404.56521739,39226.30434782609,5.0,Renewed,Expired,Materialized,1.0,JAN,Q1,2019.0,31.0,DEC,Q4,2019.0,2020-01-01,1.0,JAN,Q1,2020.0,Yemen,Yemen,Asia,Arab,0.0,0.05
20194690,HO,2019,4690,FAC,FI,OT,2019-01-01,2019-12-31 00:00:00,5.0,Yemen,United Ins. Co. Yemen,United Ins. Co. Yemen,Yemen Co.for Packaging Mat.Ind. (YCPMI),PR,Metal Industries,831952.0,2167,1202.608695652174,461,0,0,Renew,10224706.304347826,25561.956521739132,5.0,Renewed,Expired,Materialized,1.0,JAN,Q1,2019.0,31.0,DEC,Q4,2019.0,2020-01-01,1.0,JAN,Q1,2020.0,Yemen,Yemen,Asia,Arab,0.0,0.05
20194691,HO,2019,4691,FAC,FI,OT,2019-01-01,2019-12-31 00:00:00,8.0,Yemen,United Ins. Co. Yemen,United Ins. Co. Yemen,National Co. for Sponge & Plastic Ind.,PR,(RR)-Foam/Sponge/Polyurethane Factories,1060837.0,3670,2502.3913043478265,959,0,0,Renew,13836999.130434783,45661.956521739135,8.0,Renewed,Expired,Materialized,1.0,JAN,Q1,2019.0,31.0,DEC,Q4,2019.0,2020-01-01,1.0,JAN,Q1,2020.0,Yemen,Yemen,Asia,Arab,0.0,0.08
20194692,HO,2019,4692,FAC,FI,OT,2019-01-01,2019-12-31 00:00:00,8.0,Yemen,United Ins. Co. Yemen,United Ins. Co. Yemen,United Industries Co. Ltd. (UICL),PR,Tobacco/Ciagrette Factories,1102002.0,1784,1167.3913043478262,447,0,0,Renew,13949422.826086957,22318.695652173916,8.0,Renewed,Expired,Materialized,1.0,JAN,Q1,2019.0,31.0,DEC,Q4,2019.0,2020-01-01,1.0,JAN,Q1,2020.0,Yemen,Yemen,Asia,Arab,0.0,0.08
20194693,HO,2019,4693,FAC,FI,OT,2019-01-01,2019-12-31 00:00:00,7.5,Yemen,United Ins. Co. Yemen,United Ins. Co. Yemen,Yemen Co. for Ghee & Soap Ind. (YCGSI),PR,Detergent / Soap Industries,1476152.0,3399,2066.739130434783,792,0,0,Renew,19254151.304347828,42359.34782608696,7.5,Renewed,Expired,Materialized,1.0,JAN,Q1,2019.0,31.0,DEC,Q4,2019.0,2020-01-01,1.0,JAN,Q1,2020.0,Yemen,Yemen,Asia,Arab,0.0,0.075
20194694,HO,2019,4694,FAC,FI,OT,2019-05-08,2020-05-07 00:00:00,9.0,Yemen,United Ins. Co. Yemen,United Ins. Co. Yemen,General Ind. & Packages (GENPACK) Candy,PR,"Food Industries,Bakeries/Multiplant",703212.0,1279,675.6521739130435,259,0,0,Renew,9172331.086956523,16510.434782608696,9.0,Renewed,Expired,Materialized,8.0,MAY,Q2,2019.0,7.0,MAY,Q2,2020.0,2020-05-08,8.0,MAY,Q2,2020.0,Yemen,Yemen,Asia,Arab,0.0,0.09
